ground_truth,mask,pixel_count,area_km2_approx,gt_intersection_pixels,gt_recall_proxy,gt_precision_proxy,gt_iou_proxy
groundsource_media_polygons,ground_truth_reference,63151,6.269483051397588,63151,0.9999999999998417,0.9999999999998417,0.9999999999998417
groundsource_media_polygons,dl_before_water_mask,2664111,264.4866868543947,27215,0.43095121217392746,0.010215415198540865,0.010079454172464369
groundsource_media_polygons,dl_after_water_mask,2651836,263.2680536663865,29723,0.4706655476555446,0.011208460855045293,0.011068930280225665
groundsource_media_polygons,dl_flood_mask_after_minus_before,225466,22.383735264151134,5042,0.07984038257508515,0.02236257351440916,0.017780128713743532
unstats_flood_extent,ground_truth_reference,49805,4.94452349725035,49805,0.9999999999997993,0.9999999999997993,0.9999999999997993
unstats_flood_extent,dl_before_water_mask,2664111,264.4866868543947,34576,0.694227487199941,0.012978438210720152,0.012904670553195888
unstats_flood_extent,dl_after_water_mask,2651836,263.2680536663865,39773,0.7985744403170769,0.01499828797859289,0.014941762701982162
unstats_flood_extent,dl_flood_mask_after_minus_before,225466,22.383735264151134,6571,0.13193454472439878,0.029144083808643913,0.02445478228507538
combined_union,ground_truth_reference,109380,10.858989662267708,109380,0.9999999999999086,0.9999999999999086,0.9999999999999086
combined_union,dl_before_water_mask,2664111,264.4866868543947,59818,0.5468824282318022,0.022453268651343648,0.022043186485622913
combined_union,dl_after_water_mask,2651836,263.2680536663865,67335,0.615606143719088,0.025391841727768892,0.024995536179957374
combined_union,dl_flood_mask_after_minus_before,225466,22.383735264151134,11282,0.10314499908574665,0.05003858674921939,0.03486790866721777
